Step,"Recorded activity, MBq","Time correction, Min","Time_corrected_activity, MBq"
QMA retained,24.6,0,24.6
RV not dry,1298.0,0,1298.0
RV dry,1096.0,27,1299.7342223410842
Small RV,290.0,40,373.3299333356207
Small RV empty,3.73,60,5.448175063407421
tc18 trapped,35.25,66,53.47558765618659
Non-retained,203.0,67,309.9094739109811
tc18 retrapped,202.3,89,354.86800567225356
Non-retained,20.74,90,36.61188465660363
tc18 retained,21.49,95,39.15268954824156
Product,154.72,97,285.46731008175914
